Date coded,Coder,Recording,Chunk,Block,Part,Length (ms),cds_ads,confidence_level,Original Label,Duration,Comments
12:17:08 27Jan2020,TSMD11,3026,chunk12,FA1,5890449-5891500,1.051,cds,0,T,4,None
12:16:39 27Jan2020,TSMD11,3026,chunk11,FA1,5815842-5816239,0.397,ads,0,T,3,None
12:16:55 27Jan2020,TSMD11,3026,chunk11,FA1,5830066-5830586,0.52,ads,4,T,6,None
12:17:00 27Jan2020,TSMD11,3026,chunk11,FA1,5836985-5837401,0.416,ads,3,T,4,None
12:16:34 27Jan2020,TSMD11,3026,chunk10,FA1,5749130-5750280,1.15,cds,3,T,4,None
12:17:25 27Jan2020,TSMD11,3026,chunk15,FA1,8982657-8983773,1.116,ads,3,T,5,None
12:17:31 27Jan2020,TSMD11,3026,chunk15,FA1,8984620-8985943,1.323,ads,4,T,5,None
12:17:15 27Jan2020,TSMD11,3026,chunk14,FA1,8926110-8927480,1.37,ads,1,T,4,None
12:17:57 27Jan2020,TSMD11,3026,chunk22,FA1,17053090-17053610,0.52,ads,2,T,4,None
12:17:52 27Jan2020,TSMD11,3026,chunk22,FA1,17050830-17051630,0.8,cds,0,T,3,None
12:17:38 27Jan2020,TSMD11,3026,chunk19,FA1,13578840-13579290,0.45,cds,2,T,4,None
12:18:13 27Jan2020,TSMD11,3026,chunk27,FA1,29288558-29289409,0.851,ads,4,T,6,None
12:18:05 27Jan2020,TSMD11,3026,chunk24,FA1,17218110-17220010,1.9,ads,2,T,6,None
12:18:23 27Jan2020,TSMD11,3026,chunk29,FA1,29389847-29393064,3.217,cds,3,C,7,None
12:16:20 27Jan2020,TSMD11,3026,chunk1,FA1,1725530-1728100,2.57,cds,2,T,4,None
12:18:30 27Jan2020,TSMD11,3026,chunk40,FA1,32554839-32555510,0.671,ads,1,C,4,None
12:18:35 27Jan2020,TSMD11,3026,chunk40,FA1,32560745-32561244,0.499,ads,3,A,3,None
12:17:45 27Jan2020,TSMD11,3026,chunk20,FA1,15454646-15455780,1.134,ads,2,T,4,None
12:18:41 27Jan2020,TSMD11,3026,chunk42,FA1,32681267-32682600,1.333,ads,3,C,4,None
12:16:26 27Jan2020,TSMD11,3026,chunk4,FA1,1937561-1939172,1.611,cds,0,C,3,None
12:15:27 27Jan2020,TSMD11,2109,chunk12,FA1,14465746-14466302,0.556,ads,2,A,2,None
12:09:38 27Jan2020,TSMD11,2109,chunk12,FA1,14427593-14428162,0.569,cds,0,A,5,None
