Date coded,Coder,Recording,Chunk,Block,Part,Length (ms),include_exclude,confidence_level,sounded_happy,sounded_soothing,sounded_loving,sounded_exited,Original Label,Duration,Comments
09:10:15 24Jan2020,TSMA30,6216,chunk12,FA1,6393264-6394664,1.4,unlabeled,2,1,0,1,1,T,17,None
09:10:35 24Jan2020,TSMA30,6216,chunk12,FA1,6441319-6443908,2.589,unlabeled,3,3,3,3,2,T,17,None
09:09:56 24Jan2020,TSMA30,6216,chunk12,FA1,6383249-6383509,0.26,unlabeled,4,0,0,0,0,T,8,None
09:14:03 24Jan2020,TSMA30,6216,chunk28,FA1,17832815-17833135,0.32,unlabeled,1,1,1,1,1,T,10,None
09:14:14 24Jan2020,TSMA30,6216,chunk28,FA1,17847385-17848000,0.615,unlabeled,1,0,0,0,1,T,10,None
09:14:25 24Jan2020,TSMA30,6216,chunk39,FA1,24007921-24008439,0.518,unlabeled,3,0,0,0,0,T,7,None
09:11:36 24Jan2020,TSMA30,6216,chunk15,FA1,6611372-6612953,1.581,unlabeled,1,0,0,1,0,A,13,None
09:11:05 24Jan2020,TSMA30,6216,chunk14,FA1,6531076-6532705,1.629,unlabeled,1,1,0,0,1,T,12,None
09:10:51 24Jan2020,TSMA30,6216,chunk14,FA1,6527624-6528366,0.742,unlabeled,0,1,0,0,0,T,12,None
09:11:19 24Jan2020,TSMA30,6216,chunk14,FA4,6554480-6554900,0.42,unlabeled,2,0,1,0,1,A,10,None
09:12:16 24Jan2020,TSMA30,6216,chunk22,FA1,8899420-8900240,0.82,unlabeled,1,0,1,0,1,T,12,None
09:12:29 24Jan2020,TSMA30,6216,chunk22,FA1,8925155-8925855,0.7,unlabeled,1,0,1,1,0,T,11,None
09:12:47 24Jan2020,TSMA30,6216,chunk23,FA1,13959689-13960788,1.099,unlabeled,2,1,3,1,1,A,14,None
09:12:00 24Jan2020,TSMA30,6216,chunk19,FA1,7598640-7599983,1.343,unlabeled,1,1,0,0,1,T,18,None
09:13:32 24Jan2020,TSMA30,6216,chunk26,FA1,14203533-14205168,1.635,unlabeled,2,0,1,1,0,A,13,None
09:13:47 24Jan2020,TSMA30,6216,chunk27,FA1,16611490-16612680,1.19,unlabeled,1,0,1,0,1,T,12,None
09:13:14 24Jan2020,TSMA30,6216,chunk25,FA1,14149402-14152358,2.956,unlabeled,3,0,3,1,0,A,23,None
09:09:44 24Jan2020,TSMA30,6216,chunk8,FA1,3515940-3516796,0.856,unlabeled,1,0,1,1,0,T,2,None
09:15:16 24Jan2020,TSMA30,6216,chunk44,FA1,27346765-27347395,0.63,unlabeled,1,0,0,0,0,T,10,None
09:07:53 24Jan2020,TSMA30,6216,chunk2,FA1,1571982-1572568,0.586,unlabeled,2,1,2,2,1,T,11,None
09:08:05 24Jan2020,TSMA30,6216,chunk2,FA1,1593641-1594978,1.337,unlabeled,3,1,2,2,1,T,10,None
09:15:32 24Jan2020,TSMA30,6216,chunk46,FA1,29105449-29105838,0.389,unlabeled,3,1,0,0,3,A,13,None
09:07:03 24Jan2020,TSMA30,6216,chunk1,FA1,896410-897570,1.16,unlabeled,2,0,0,0,2,T,13,None
09:07:21 24Jan2020,TSMA30,6216,chunk1,FA1,903695-906725,3.03,unlabeled,2,1,0,0,2,T,16,None
09:06:42 24Jan2020,TSMA30,6216,chunk1,FA1,921780-923340,1.56,unlabeled,2,2,0,0,3,T,40,None
09:14:47 24Jan2020,TSMA30,6216,chunk40,FA3,24044935-24045985,1.05,unlabeled,1,0,0,0,0,T,18,None
09:15:02 24Jan2020,TSMA30,6216,chunk40,FA4,24079694-24080525,0.831,unlabeled,2,1,0,0,1,A,13,None
09:08:48 24Jan2020,TSMA30,6216,chunk6,FA1,3379906-3381336,1.43,unlabeled,3,2,0,0,1,T,13,None
09:09:09 24Jan2020,TSMA30,6216,chunk6,FA1,3416695-3417536,0.841,unlabeled,1,0,0,0,1,T,18,None
09:09:26 24Jan2020,TSMA30,6216,chunk6,FA1,3418508-3419292,0.784,unlabeled,1,1,0,0,2,T,15,None
09:08:24 24Jan2020,TSMA30,6216,chunk5,FA1,1856421-1857458,1.037,unlabeled,2,1,2,3,1,T,15,None
09:22:06 24Jan2020,TSMA30,7326,chunk28,FA1,18525254-18527720,2.466,unlabeled,2,1,2,2,1,T,10,None
09:22:25 24Jan2020,TSMA30,7326,chunk28,FA1,18534227-18534876,0.649,unlabeled,2,1,1,1,0,T,17,None
09:22:40 24Jan2020,TSMA30,7326,chunk29,FA1,18576890-18577683,0.793,unlabeled,2,2,1,0,1,T,12,None
09:23:13 24Jan2020,TSMA30,7326,chunk29,FA1,18601468-18602461,0.993,unlabeled,2,0,1,2,0,C,12,None
09:23:22 24Jan2020,TSMA30,7326,chunk29,FA1,18603256-18604790,1.534,unlabeled,2,0,0,0,0,C,8,None
09:22:59 24Jan2020,TSMA30,7326,chunk29,FA1,18578870-18580584,1.714,unlabeled,1,1,0,0,0,T,18,None
09:17:55 24Jan2020,TSMA30,7326,chunk23,FA1,14995127-14996124,0.997,unlabeled,2,0,0,0,0,T,9,None
09:20:56 24Jan2020,TSMA30,7326,chunk26,FA1,18405145-18405655,0.51,unlabeled,1,0,0,0,0,T,9,None
09:20:21 24Jan2020,TSMA30,7326,chunk26,FA1,18395713-18397176,1.463,unlabeled,3,0,2,0,0,T,11,None
09:21:42 24Jan2020,TSMA30,7326,chunk26,FA1,18423398-18423828,0.43,unlabeled,4,0,0,0,0,T,6,None
09:21:06 24Jan2020,TSMA30,7326,chunk26,FA1,18409602-18410719,1.117,unlabeled,3,0,1,1,0,T,8,None
09:21:34 24Jan2020,TSMA30,7326,chunk26,FA1,18422117-18422730,0.613,unlabeled,1,0,1,0,0,T,15,None
09:21:17 24Jan2020,TSMA30,7326,chunk26,FA1,18412204-18413393,1.189,unlabeled,1,0,1,1,0,T,9,None
09:20:45 24Jan2020,TSMA30,7326,chunk26,FA1,18402613-18403959,1.346,unlabeled,1,0,1,1,0,T,11,None
09:20:08 24Jan2020,TSMA30,7326,chunk26,FA1,18388405-18388981,0.576,unlabeled,3,0,1,1,0,T,10,None
09:20:33 24Jan2020,TSMA30,7326,chunk26,FA1,18399092-18399692,0.6,unlabeled,1,0,0,0,0,T,11,None
09:21:52 24Jan2020,TSMA30,7326,chunk26,FA1,18424348-18425015,0.667,unlabeled,4,0,0,0,0,T,9,None
09:18:36 24Jan2020,TSMA30,7326,chunk24,FA1,15076500-15078229,1.729,unlabeled,2,0,1,0,2,T,13,None
09:18:20 24Jan2020,TSMA30,7326,chunk24,FA1,15047442-15048349,0.907,unlabeled,4,0,0,0,0,T,21,None
09:19:35 24Jan2020,TSMA30,7326,chunk24,FA1,15089434-15090934,1.5,unlabeled,4,0,1,0,0,T,8,None
09:18:57 24Jan2020,TSMA30,7326,chunk24,FA1,15079106-15079778,0.672,unlabeled,1,0,0,0,1,T,19,None
09:19:12 24Jan2020,TSMA30,7326,chunk24,FA1,15085418-15086016,0.598,unlabeled,1,0,0,0,0,T,10,None
09:19:25 24Jan2020,TSMA30,7326,chunk24,FA1,15088057-15088786,0.729,unlabeled,4,0,0,0,0,T,11,None
09:19:47 24Jan2020,TSMA30,7326,chunk25,FA1,15114549-15114909,0.36,unlabeled,3,0,0,0,0,T,9,None
09:19:54 24Jan2020,TSMA30,7326,chunk25,FA1,15122295-15122754,0.459,unlabeled,4,0,0,0,0,T,5,None
09:17:33 24Jan2020,TSMA30,7326,chunk9,FA1,6935357-6936418,1.061,unlabeled,2,1,1,0,0,T,17,None
