participant,ID,recording,chunk,block,part,length,rater_label,confidence,nat_inf_label,duration
TSMD1,0,643,chunk1,FA1,1970580-1971675,1.095,cds,3,C,1
TSMD1,0,643,chunk11,FA1,11130100-11130710,0.61,cds,2,T,4
TSMD1,0,643,chunk11,FA1,11135799-11136280,0.481,cds,2,T,5
TSMD1,0,643,chunk13,FA1,11276259-11276870,0.611,ads,3,T,5
TSMD1,0,643,chunk13,FA1,11278211-11279081,0.87,ads,2,T,4
TSMD1,0,643,chunk13,FA1,11280553-11281555,1.002,ads,3,T,7
TSMD1,0,643,chunk13,FA1,11283035-11283520,0.485,ads,3,T,14
TSMD1,0,643,chunk13,FA1,11288834-11290778,1.944,cds,1,T,6
TSMD1,0,643,chunk13,FA1,11291655-11293667,2.012,cds,1,T,9
TSMD1,0,643,chunk15,FA1,11395987-11397225,1.238,ads,3,C,6
TSMD1,0,643,chunk15,FA1,11402131-11403831,1.7,ads,4,C,12
TSMD1,0,643,chunk16,FA1,11450262-11451442,1.18,ads,2,T,10
TSMD1,0,643,chunk16,FA1,11460013-11460782,0.769,cds,1,T,6
TSMD1,0,643,chunk17,FA2,14258333-14259264,0.931,ads,2,C,8
TSMD1,0,643,chunk19,FA2,14331953-14335836,3.883,ads,2,C,5
TSMD1,0,643,chunk2,FA1,2016491-2017690,1.199,cds,2,C,11
TSMD1,0,643,chunk2,FA1,2059578-2060477,0.899,cds,2,C,8
TSMD1,0,643,chunk23,FA1,16625000-16625952,0.952,ads,3,C,5
TSMD1,0,643,chunk23,FA1,16627528-16629715,2.187,ads,4,C,6
TSMD1,0,643,chunk23,FA1,16631309-16634177,2.868,ads,4,C,8
TSMD1,0,643,chunk23,FA1,16635372-16635975,0.603,ads,3,C,5
TSMD1,0,643,chunk23,FA1,16647405-16648714,1.309,ads,3,C,6
TSMD1,0,643,chunk30,FA1,20518422-20520287,1.865,ads,2,C,9
TSMD1,0,643,chunk32,FA1,20648000-20648686,0.686,cds,1,C,8
TSMD1,0,643,chunk36,FA2,21448917-21449845,0.928,ads,2,A,7
TSMD1,0,643,chunk4,FA1,2151402-2152381,0.979,ads,2,C,7
TSMD1,0,643,chunk4,FA1,2175929-2177029,1.1,ads,2,C,4
TSMD1,0,643,chunk5,FA1,2225833-2226779,0.946,cds,2,C,5
TSMD1,0,643,chunk9,FA2,5197156-5197796,0.64,ads,2,T,8
TSMD1,0,2625,chunk2,FA1,2732315-2733314,0.999,ads,2,T,16
TSMD1,0,7220,chunk23,FA2,6314238-6315155,0.917,ads,2,A,9
TSMD1,0,7220,chunk24,FA1,6382150-6384698,2.548,ads,3,A,10
TSMD1,0,7220,chunk28,FA3,10140781-10142982,2.201,ads,3,A,12
TSMD1,0,7220,chunk30,FA2,10259792-10260960,1.168,ads,2,A,18
TSMD1,0,7220,chunk31,FA3,10331446-10332114,0.668,cds,1,A,5
TSMD1,0,7220,chunk31,FA3,10333771-10334051,0.28,cds,1,A,12
TSMD1,0,7220,chunk33,FA1,15227970-15228840,0.87,ads,3,T,5
TSMD1,0,7220,chunk33,FA1,15234570-15235390,0.82,ads,3,T,7
TSMD1,0,7220,chunk37,FA1,15668705-15669471,0.766,ads,3,A,7
TSMD1,0,7220,chunk38,FA1,15710148-15711393,1.245,ads,3,C,9
TSMD1,0,7220,chunk40,FA2,16769798-16770312,0.514,ads,3,A,7
TSMD1,0,7220,chunk41,FA2,16862720-16863544,0.824,cds,2,A,7
TSMD1,0,7220,chunk45,FA1,22509634-22510507,0.873,ads,1,A,17
TSMD1,0,7220,chunk45,FA1,22553842-22554290,0.448,cds,2,A,10
TSMD1,0,7220,chunk5,FA2,2277112-2277846,0.734,cds,2,C,8
TSMD1,0,7220,chunk50,FA1,30484060-30484490,0.43,ads,2,T,8
TSMD1,0,7220,chunk51,FA1,30594186-30594776,0.59,cds,2,A,6
