participant2,recording,chunk,block,part,length,confidence,happy,sooth,love,exaggerate,nat_inf_label2,duration2
TSMA1,3026,chunk1,FA1,1725530-1728100,2.57,2,0,0,0,1,T,38
TSMA1,643,chunk1,FA1,1970580-1971675,1.095,3,0,1,1,0,C,24
TSMA1,3026,chunk10,FA1,5749130-5750280,1.15,3,0,2,1,0,T,18
TSMA1,643,chunk11,FA1,11130100-11130710,0.61,2,0,1,0,0,T,16
TSMA1,643,chunk11,FA1,11135799-11136280,0.481,3,0,1,1,0,T,15
TSMA1,3026,chunk11,FA1,5815842-5816239,0.397,3,0,2,1,0,T,15
TSMA1,3026,chunk11,FA1,5830066-5830586,0.52,2,0,0,0,0,T,13
TSMA1,3026,chunk11,FA1,5836985-5837401,0.416,2,2,1,0,0,T,22
TSMA1,3026,chunk12,FA1,5890449-5891500,1.051,2,0,0,0,1,T,15
TSMA1,643,chunk13,FA1,11276259-11276870,0.611,3,0,0,0,1,T,12
TSMA1,643,chunk13,FA1,11278211-11279081,0.87,3,0,1,1,0,T,15
TSMA1,643,chunk13,FA1,11280553-11281555,1.002,2,0,0,0,1,T,14
TSMA1,643,chunk13,FA1,11283035-11283520,0.485,3,0,2,1,0,T,18
TSMA1,643,chunk13,FA1,11288834-11290778,1.944,2,0,0,0,0,T,18
TSMA1,643,chunk13,FA1,11291655-11293667,2.012,3,0,1,0,0,T,18
TSMA1,3026,chunk14,FA1,8926110-8927480,1.37,3,0,2,1,0,T,17
TSMA1,2625,chunk15,FA1,10006988-10007435,0.447,3,1,2,2,0,T,27
TSMA1,2625,chunk15,FA1,10009239-10010020,0.781,3,0,2,1,0,T,21
TSMA1,2625,chunk15,FA1,10016585-10017025,0.44,3,1,0,1,2,T,26
TSMA1,2625,chunk15,FA1,10033418-10034212,0.794,3,0,0,0,0,T,25
TSMA1,643,chunk15,FA1,11395987-11397225,1.238,3,0,1,1,0,C,20
TSMA1,643,chunk15,FA1,11402131-11403831,1.7,2,1,0,0,0,C,26
TSMA1,3026,chunk15,FA1,8982657-8983773,1.116,2,0,0,0,0,T,16
TSMA1,3026,chunk15,FA1,8984620-8985943,1.323,3,0,0,1,0,T,20
TSMA1,2625,chunk15,FA1,9977706-9978000,0.294,2,1,0,0,1,T,22
TSMA1,2625,chunk15,FA1,9996590-9997840,1.25,3,0,1,2,0,T,22
TSMA1,643,chunk16,FA1,11450262-11451442,1.18,3,1,0,1,1,T,13
TSMA1,2625,chunk17,FA1,12359701-12360702,1.001,2,0,0,0,1,C,19
TSMA1,643,chunk17,FA2,14258333-14259264,0.931,2,0,0,0,1,C,15
TSMA1,2625,chunk18,FA1,12394154-12394895,0.741,1,0,0,1,0,C,19
TSMA1,3026,chunk19,FA1,13578840-13579290,0.45,3,0,0,0,2,T,15
TSMA1,643,chunk19,FA2,14331953-14335836,3.883,2,0,2,0,0,C,40
TSMA1,643,chunk2,FA1,2016491-2017690,1.199,3,1,1,1,0,C,14
TSMA1,643,chunk2,FA1,2059578-2060477,0.899,2,0,0,1,1,C,14
TSMA1,2625,chunk2,FA1,2732315-2733314,0.999,3,0,0,0,0,T,27
TSMA1,643,chunk23,FA1,16625000-16625952,0.952,3,0,2,1,0,C,21
TSMA1,643,chunk23,FA1,16627528-16629715,2.187,3,0,0,1,0,C,33
TSMA1,643,chunk23,FA1,16631309-16634177,2.868,2,0,0,1,0,C,25
TSMA1,643,chunk23,FA1,16635372-16635975,0.603,2,0,0,0,1,C,11
TSMA1,643,chunk23,FA1,16647405-16648714,1.309,2,0,0,0,1,C,27
TSMA1,7220,chunk23,FA2,6314238-6315155,0.917,3,0,0,0,1,A,14
TSMA1,7220,chunk24,FA1,6382150-6384698,2.548,0,2,1,1,0,A,25
TSMA1,2625,chunk27,FA1,16659273-16660534,1.261,1,0,0,0,1,T,26
TSMA1,7220,chunk28,FA3,10140781-10142982,2.201,3,1,0,1,1,A,16
TSMA1,2625,chunk28,FA1,16704842-16705456,0.614,2,0,0,0,2,T,17
TSMA1,7220,chunk30,FA2,10259792-10260960,1.168,3,2,0,0,3,A,30
TSMA1,643,chunk30,FA1,20518422-20520287,1.865,3,1,1,1,0,C,16
TSMA1,7220,chunk31,FA3,10331446-10332114,0.668,2,0,0,0,0,A,21
TSMA1,7220,chunk31,FA3,10333771-10334051,0.28,2,0,0,0,0,A,20
TSMA1,7220,chunk33,FA1,15227970-15228840,0.87,3,1,0,1,0,T,15
TSMA1,7220,chunk33,FA1,15234570-15235390,0.82,3,2,2,2,2,T,24
TSMA1,2625,chunk34,FA1,27374608-27374951,0.343,2,0,0,0,2,C,17
TSMA1,643,chunk36,FA2,21448917-21449845,0.928,2,0,0,0,2,A,25
TSMA1,7220,chunk37,FA1,15668705-15669471,0.766,3,2,0,0,1,A,19
TSMA1,7220,chunk38,FA1,15710148-15711393,1.245,2,0,0,0,1,C,21
TSMA1,3026,chunk4,FA1,1937561-1939172,1.611,3,0,0,0,1,C,16
TSMA1,643,chunk4,FA1,2151402-2152381,0.979,3,0,0,0,1,C,11
TSMA1,643,chunk4,FA1,2175929-2177029,1.1,2,0,0,0,1,C,13
TSMA1,7220,chunk40,FA2,16769798-16770312,0.514,2,0,1,1,0,A,14
TSMA1,7220,chunk41,FA2,16862720-16863544,0.824,2,0,2,1,0,A,20
TSMA1,7220,chunk45,FA1,22509634-22510507,0.873,3,0,0,1,0,A,18
TSMA1,643,chunk5,FA1,2225833-2226779,0.946,2,0,0,0,1,C,17
TSMA1,7220,chunk5,FA2,2277112-2277846,0.734,3,0,0,0,0,C,17
TSMA1,7220,chunk50,FA1,30484060-30484490,0.43,2,0,0,0,0,T,21
TSMA1,7220,chunk51,FA1,30594186-30594776,0.59,3,1,0,1,2,A,13
TSMA1,7220,chunk51,FA1,30610467-30610937,0.47,0,0,1,0,1,A,12
TSMA1,7220,chunk51,FA4,30631976-30632598,0.622,3,0,0,0,1,A,20
TSMA1,7220,chunk51,FA4,30641566-30642573,1.007,4,2,0,1,2,A,13
TSMA1,7220,chunk51,FA4,30644641-30645436,0.795,1,0,0,0,0,A,11
TSMA1,7220,chunk51,FA4,30646015-30648287,2.272,3,0,0,1,1,A,17
TSMA1,7220,chunk52,FA4,30659890-30661112,1.222,3,0,1,1,0,A,16
TSMA1,643,chunk9,FA2,5197156-5197796,0.64,3,0,0,2,0,T,11
TSMA10,643,chunk1,FA1,1970580-1971675,1.095,3,0,1,1,0,C,29
TSMA10,643,chunk11,FA1,11130100-11130710,0.61,4,2,3,2,3,T,15
TSMA10,643,chunk11,FA1,11135799-11136280,0.481,4,2,4,4,1,T,18
TSMA10,643,chunk13,FA1,11276259-11276870,0.611,4,0,0,0,0,T,10
TSMA10,643,chunk13,FA1,11278211-11279081,0.87,4,0,2,1,0,T,16
TSMA10,643,chunk13,FA1,11280553-11281555,1.002,3,1,1,1,3,T,23
TSMA10,643,chunk13,FA1,11283035-11283520,0.485,4,2,4,4,1,T,11
TSMA10,643,chunk13,FA1,11288834-11290778,1.944,3,3,1,2,1,T,17
TSMA10,643,chunk13,FA1,11291655-11293667,2.012,4,1,0,2,1,T,24
TSMA10,2625,chunk15,FA1,10006988-10007435,0.447,3,0,0,0,1,T,10
TSMA10,2625,chunk15,FA1,10009239-10010020,0.781,2,0,2,0,0,T,19
TSMA10,2625,chunk15,FA1,10016585-10017025,0.44,3,2,1,1,2,T,11
TSMA10,2625,chunk15,FA1,10033418-10034212,0.794,4,3,3,3,3,T,6
TSMA10,643,chunk15,FA1,11395987-11397225,1.238,4,0,0,0,1,C,13
TSMA10,643,chunk15,FA1,11402131-11403831,1.7,4,0,0,0,0,C,8
TSMA10,2625,chunk15,FA1,9977706-9978000,0.294,3,1,0,0,2,T,9
TSMA10,2625,chunk15,FA1,9996590-9997840,1.25,0,0,1,2,2,T,23
TSMA10,643,chunk16,FA1,11450262-11451442,1.18,4,2,1,3,3,T,9
TSMA10,643,chunk16,FA1,11460013-11460782,0.769,4,3,2,1,2,T,12
TSMA10,2625,chunk17,FA1,12359701-12360702,1.001,3,0,0,0,2,C,10
TSMA10,643,chunk17,FA2,14258333-14259264,0.931,4,0,0,0,4,C,10
TSMA10,2625,chunk18,FA1,12394154-12394895,0.741,4,0,0,0,0,C,8
TSMA10,643,chunk19,FA2,14331953-14335836,3.883,2,0,3,0,0,C,24
TSMA10,643,chunk2,FA1,2016491-2017690,1.199,0,2,2,1,2,C,27
TSMA10,643,chunk2,FA1,2059578-2060477,0.899,4,2,0,2,2,C,29
TSMA10,2625,chunk2,FA1,2732315-2733314,0.999,3,0,1,1,3,T,16
