participant,group,clip,clip_length,rater_Label,confidence,background_noise,happy,angry,sad,sooth,love,exaggerated,clear,nat_inf_label,recorded_child,rating_duration,rater_labeln,nat_inf_labeln
SUB1,group_2,113390-114020,630,cds,0,-2,2,2,2,2,2,2,2,A,Amirali,11,0,1
SUB1,group_2,19150-20760,1610,cds,0,-2,2,2,2,2,2,2,3,I,Vihan,7,0,0
SUB1,group_2,166295-167805,1510,cds,0,-2,2,2,2,2,2,2,2,A,Melorin,10,0,1
SUB1,group_2,125123-126349,1226,cds,3,-2,2,2,2,2,2,2,1,I,Ali,13,0,0
SUB1,group_2,77030-77960,930,cds,0,-2,3,2,3,2,3,2,4,I,Vihan,9,0,0
SUB1,group_2,212015-213555,1540,cds,0,-2,3,2,2,2,2,2,0,A,Ali,31,0,1
SUB1,group_2,282613-283320,707,cds,0,-2,2,2,2,2,2,2,4,I,Amirali,18,0,0
SUB1,group_2,92356-94720,2364,cds,0,-2,2,2,2,2,2,2,2,I,Amirali,7,0,0
SUB1,group_2,205785-206975,1190,ads,0,-2,2,2,2,2,2,2,3,A,Ali,6,1,1
SUB1,group_2,85635-86285,650,cds,0,-2,2,2,2,2,2,2,2,A,Vihan,6,0,1
SUB1,group_2,141771-143811,2040,cds,0,-2,2,2,2,2,2,2,4,I,Ali,7,0,0
SUB1,group_2,270470-272920,2450,cds,0,-2,2,2,2,2,2,2,4,I,Amirali,8,0,0
SUB1,group_2,61100-65280,4180,ads,0,-2,2,2,2,2,2,2,4,I,Mahan,6,1,0
SUB1,group_2,76665-76945,280,cds,0,-2,3,3,3,3,3,3,3,A,Illia,15,0,1
SUB1,group_2,267330-270988,3658,cds,0,-2,3,2,2,3,3,2,3,I,Niki,20,0,0
SUB1,group_2,318246-319962,1716,cds,0,-2,2,2,2,2,2,2,4,I,Illia,9,0,0
SUB1,group_2,205200-206440,1240,cds,0,-2,2,2,2,2,2,2,3,I,Mahan,5,0,0
SUB1,group_2,182454-183517,1063,cds,0,-2,2,2,2,2,2,2,4,I,Illia,10,0,0
SUB1,group_2,46930-50220,3290,cds,0,-2,2,2,2,2,3,3,0,I,Mahan,15,0,0
SUB1,group_2,168282-169209,927,cds,0,-2,3,2,2,2,3,2,3,I,Ali,17,0,0
SUB1,group_2,74845-76845,2000,cds,0,-2,3,2,2,2,2,2,4,I,Mahan,7,0,0
SUB1,group_2,133060-135650,2590,ads,3,-2,2,2,2,2,2,2,4,A,Melorin,11,1,1
SUB1,group_2,52205-53905,1700,cds,0,-2,2,2,2,2,2,2,2,A,Amirali,10,0,1
SUB1,group_2,104190-107070,2880,ads,1,-2,4,2,0,1,3,2,3,A,Mahan,146,1,1
SUB1,group_2,16845-17655,810,cds,0,-2,2,2,2,2,2,3,4,A,Melorin,11,0,1
SUB1,group_2,80285-81475,1190,cds,0,-2,2,2,2,2,2,2,3,I,Illia,5,0,0
SUB1,group_2,166430-167680,1250,ads,0,-2,2,2,2,2,2,3,2,A,Vihan,10,1,1
SUB1,group_2,3360-4200,840,cds,0,-2,2,2,2,2,2,2,3,I,Vihan,5,0,0
SUB1,group_2,65085-66915,1830,cds,0,-2,2,2,2,2,2,2,3,I,Diana,4,0,0
SUB1,group_2,140922-142104,1182,cds,0,-2,2,2,2,2,2,2,4,I,Illia,7,0,0
