ID,recording,part,participant,chunk.x,block.x,length.x,rater_label,confidence.x,nat_inf_label,duration,participant2,chunk.y,block.y,length.y,confidence.y,happy,sooth,love,exaggerate,nat_inf_label2,duration2
1,643,1970580-1971675,TSMD1,chunk1,FA1,1.095,cds,3,C,1,TSMA1,chunk1,FA1,1.095,3,0,1,1,0,C,24
1,643,11130100-11130710,TSMD1,chunk11,FA1,0.61,cds,2,T,4,TSMA1,chunk11,FA1,0.61,2,0,1,0,0,T,16
1,643,11135799-11136280,TSMD1,chunk11,FA1,0.481,cds,2,T,5,TSMA1,chunk11,FA1,0.481,3,0,1,1,0,T,15
1,643,11276259-11276870,TSMD1,chunk13,FA1,0.611,ads,3,T,5,TSMA1,chunk13,FA1,0.611,3,0,0,0,1,T,12
1,643,11278211-11279081,TSMD1,chunk13,FA1,0.87,ads,2,T,4,TSMA1,chunk13,FA1,0.87,3,0,1,1,0,T,15
1,643,11280553-11281555,TSMD1,chunk13,FA1,1.002,ads,3,T,7,TSMA1,chunk13,FA1,1.002,2,0,0,0,1,T,14
1,643,11283035-11283520,TSMD1,chunk13,FA1,0.485,ads,3,T,14,TSMA1,chunk13,FA1,0.485,3,0,2,1,0,T,18
1,643,11288834-11290778,TSMD1,chunk13,FA1,1.944,cds,1,T,6,TSMA1,chunk13,FA1,1.944,2,0,0,0,0,T,18
1,643,11291655-11293667,TSMD1,chunk13,FA1,2.012,cds,1,T,9,TSMA1,chunk13,FA1,2.012,3,0,1,0,0,T,18
1,643,11395987-11397225,TSMD1,chunk15,FA1,1.238,ads,3,C,6,TSMA1,chunk15,FA1,1.238,3,0,1,1,0,C,20
1,643,11402131-11403831,TSMD1,chunk15,FA1,1.7,ads,4,C,12,TSMA1,chunk15,FA1,1.7,2,1,0,0,0,C,26
1,643,11450262-11451442,TSMD1,chunk16,FA1,1.18,ads,2,T,10,TSMA1,chunk16,FA1,1.18,3,1,0,1,1,T,13
1,643,14258333-14259264,TSMD1,chunk17,FA2,0.931,ads,2,C,8,TSMA1,chunk17,FA2,0.931,2,0,0,0,1,C,15
1,643,14331953-14335836,TSMD1,chunk19,FA2,3.883,ads,2,C,5,TSMA1,chunk19,FA2,3.883,2,0,2,0,0,C,40
1,643,2016491-2017690,TSMD1,chunk2,FA1,1.199,cds,2,C,11,TSMA1,chunk2,FA1,1.199,3,1,1,1,0,C,14
1,643,2059578-2060477,TSMD1,chunk2,FA1,0.899,cds,2,C,8,TSMA1,chunk2,FA1,0.899,2,0,0,1,1,C,14
1,643,16625000-16625952,TSMD1,chunk23,FA1,0.952,ads,3,C,5,TSMA1,chunk23,FA1,0.952,3,0,2,1,0,C,21
1,643,16627528-16629715,TSMD1,chunk23,FA1,2.187,ads,4,C,6,TSMA1,chunk23,FA1,2.187,3,0,0,1,0,C,33
1,643,16631309-16634177,TSMD1,chunk23,FA1,2.868,ads,4,C,8,TSMA1,chunk23,FA1,2.868,2,0,0,1,0,C,25
1,643,16635372-16635975,TSMD1,chunk23,FA1,0.603,ads,3,C,5,TSMA1,chunk23,FA1,0.603,2,0,0,0,1,C,11
1,643,16647405-16648714,TSMD1,chunk23,FA1,1.309,ads,3,C,6,TSMA1,chunk23,FA1,1.309,2,0,0,0,1,C,27
1,643,20518422-20520287,TSMD1,chunk30,FA1,1.865,ads,2,C,9,TSMA1,chunk30,FA1,1.865,3,1,1,1,0,C,16
1,643,21448917-21449845,TSMD1,chunk36,FA2,0.928,ads,2,A,7,TSMA1,chunk36,FA2,0.928,2,0,0,0,2,A,25
1,643,2151402-2152381,TSMD1,chunk4,FA1,0.979,ads,2,C,7,TSMA1,chunk4,FA1,0.979,3,0,0,0,1,C,11
1,643,2175929-2177029,TSMD1,chunk4,FA1,1.1,ads,2,C,4,TSMA1,chunk4,FA1,1.1,2,0,0,0,1,C,13
1,643,2225833-2226779,TSMD1,chunk5,FA1,0.946,cds,2,C,5,TSMA1,chunk5,FA1,0.946,2,0,0,0,1,C,17
1,643,5197156-5197796,TSMD1,chunk9,FA2,0.64,ads,2,T,8,TSMA1,chunk9,FA2,0.64,3,0,0,2,0,T,11
1,2625,2732315-2733314,TSMD1,chunk2,FA1,0.999,ads,2,T,16,TSMA1,chunk2,FA1,0.999,3,0,0,0,0,T,27
1,7220,6314238-6315155,TSMD1,chunk23,FA2,0.917,ads,2,A,9,TSMA1,chunk23,FA2,0.917,3,0,0,0,1,A,14
1,7220,6382150-6384698,TSMD1,chunk24,FA1,2.548,ads,3,A,10,TSMA1,chunk24,FA1,2.548,0,2,1,1,0,A,25
1,7220,10140781-10142982,TSMD1,chunk28,FA3,2.201,ads,3,A,12,TSMA1,chunk28,FA3,2.201,3,1,0,1,1,A,16
1,7220,10259792-10260960,TSMD1,chunk30,FA2,1.168,ads,2,A,18,TSMA1,chunk30,FA2,1.168,3,2,0,0,3,A,30
1,7220,10331446-10332114,TSMD1,chunk31,FA3,0.668,cds,1,A,5,TSMA1,chunk31,FA3,0.668,2,0,0,0,0,A,21
1,7220,10333771-10334051,TSMD1,chunk31,FA3,0.28,cds,1,A,12,TSMA1,chunk31,FA3,0.28,2,0,0,0,0,A,20
1,7220,15227970-15228840,TSMD1,chunk33,FA1,0.87,ads,3,T,5,TSMA1,chunk33,FA1,0.87,3,1,0,1,0,T,15
1,7220,15234570-15235390,TSMD1,chunk33,FA1,0.82,ads,3,T,7,TSMA1,chunk33,FA1,0.82,3,2,2,2,2,T,24
1,7220,15668705-15669471,TSMD1,chunk37,FA1,0.766,ads,3,A,7,TSMA1,chunk37,FA1,0.766,3,2,0,0,1,A,19
1,7220,15710148-15711393,TSMD1,chunk38,FA1,1.245,ads,3,C,9,TSMA1,chunk38,FA1,1.245,2,0,0,0,1,C,21
1,7220,16769798-16770312,TSMD1,chunk40,FA2,0.514,ads,3,A,7,TSMA1,chunk40,FA2,0.514,2,0,1,1,0,A,14
1,7220,16862720-16863544,TSMD1,chunk41,FA2,0.824,cds,2,A,7,TSMA1,chunk41,FA2,0.824,2,0,2,1,0,A,20
1,7220,22509634-22510507,TSMD1,chunk45,FA1,0.873,ads,1,A,17,TSMA1,chunk45,FA1,0.873,3,0,0,1,0,A,18
1,7220,2277112-2277846,TSMD1,chunk5,FA2,0.734,cds,2,C,8,TSMA1,chunk5,FA2,0.734,3,0,0,0,0,C,17
1,7220,30484060-30484490,TSMD1,chunk50,FA1,0.43,ads,2,T,8,TSMA1,chunk50,FA1,0.43,2,0,0,0,0,T,21
1,7220,30594186-30594776,TSMD1,chunk51,FA1,0.59,cds,2,A,6,TSMA1,chunk51,FA1,0.59,3,1,0,1,2,A,13
1,7220,30610467-30610937,TSMD1,chunk51,FA1,0.47,cds,2,A,5,TSMA1,chunk51,FA1,0.47,0,0,1,0,1,A,12
1,7220,30631976-30632598,TSMD1,chunk51,FA4,0.622,cds,1,A,7,TSMA1,chunk51,FA4,0.622,3,0,0,0,1,A,20
1,7220,30641566-30642573,TSMD1,chunk51,FA4,1.007,cds,2,A,5,TSMA1,chunk51,FA4,1.007,4,2,0,1,2,A,13
1,7220,30644641-30645436,TSMD1,chunk51,FA4,0.795,ads,2,A,8,TSMA1,chunk51,FA4,0.795,1,0,0,0,0,A,11
1,7220,30646015-30648287,TSMD1,chunk51,FA4,2.272,ads,2,A,7,TSMA1,chunk51,FA4,2.272,3,0,0,1,1,A,17
1,7220,30659890-30661112,TSMD1,chunk52,FA4,1.222,ads,3,A,11,TSMA1,chunk52,FA4,1.222,3,0,1,1,0,A,16
10,643,1970580-1971675,TSMD10,chunk1,FA1,1.095,ads,2,C,9,TSMA10,chunk1,FA1,1.095,3,0,1,1,0,C,29
10,643,11130100-11130710,TSMD10,chunk11,FA1,0.61,cds,4,T,6,TSMA10,chunk11,FA1,0.61,4,2,3,2,3,T,15
10,643,11135799-11136280,TSMD10,chunk11,FA1,0.481,cds,3,T,7,TSMA10,chunk11,FA1,0.481,4,2,4,4,1,T,18
10,643,11276259-11276870,TSMD10,chunk13,FA1,0.611,ads,2,T,8,TSMA10,chunk13,FA1,0.611,4,0,0,0,0,T,10
10,643,11278211-11279081,TSMD10,chunk13,FA1,0.87,cds,2,T,11,TSMA10,chunk13,FA1,0.87,4,0,2,1,0,T,16
10,643,11280553-11281555,TSMD10,chunk13,FA1,1.002,cds,3,T,5,TSMA10,chunk13,FA1,1.002,3,1,1,1,3,T,23
10,643,11283035-11283520,TSMD10,chunk13,FA1,0.485,ads,2,T,17,TSMA10,chunk13,FA1,0.485,4,2,4,4,1,T,11
10,643,11288834-11290778,TSMD10,chunk13,FA1,1.944,ads,3,T,14,TSMA10,chunk13,FA1,1.944,3,3,1,2,1,T,17
10,643,11291655-11293667,TSMD10,chunk13,FA1,2.012,ads,2,T,9,TSMA10,chunk13,FA1,2.012,4,1,0,2,1,T,24
10,643,11395987-11397225,TSMD10,chunk15,FA1,1.238,ads,3,C,10,TSMA10,chunk15,FA1,1.238,4,0,0,0,1,C,13
10,643,11402131-11403831,TSMD10,chunk15,FA1,1.7,ads,4,C,7,TSMA10,chunk15,FA1,1.7,4,0,0,0,0,C,8
10,643,11450262-11451442,TSMD10,chunk16,FA1,1.18,ads,3,T,9,TSMA10,chunk16,FA1,1.18,4,2,1,3,3,T,9
10,643,11460013-11460782,TSMD10,chunk16,FA1,0.769,cds,2,T,9,TSMA10,chunk16,FA1,0.769,4,3,2,1,2,T,12
10,643,14258333-14259264,TSMD10,chunk17,FA2,0.931,ads,3,C,9,TSMA10,chunk17,FA2,0.931,4,0,0,0,4,C,10
10,643,14331953-14335836,TSMD10,chunk19,FA2,3.883,ads,4,C,9,TSMA10,chunk19,FA2,3.883,2,0,3,0,0,C,24
10,643,2016491-2017690,TSMD10,chunk2,FA1,1.199,cds,3,C,13,TSMA10,chunk2,FA1,1.199,0,2,2,1,2,C,27
10,643,2059578-2060477,TSMD10,chunk2,FA1,0.899,ads,2,C,9,TSMA10,chunk2,FA1,0.899,4,2,0,2,2,C,29
10,643,16625000-16625952,TSMD10,chunk23,FA1,0.952,ads,3,C,8,TSMA10,chunk23,FA1,0.952,4,1,0,0,0,C,19
10,643,16627528-16629715,TSMD10,chunk23,FA1,2.187,ads,3,C,7,TSMA10,chunk23,FA1,2.187,4,1,0,1,3,C,18
10,643,16631309-16634177,TSMD10,chunk23,FA1,2.868,ads,4,C,10,TSMA10,chunk23,FA1,2.868,3,1,0,0,3,C,19
